SDEV,400,Secure Programming in the Cloud,3,1001
SDEV,350,Database Security,3,1002
SDEV,325,Detecting Software Vulnerabilities,3,1003
ECON,103,Economics in the Information Age,3,1004
CMIS,320,Relational Database Concepts and Applications,3,1005
HUMN,100,Introduction to Humanities,3,1006
NSCI,103,Fundamentals of Physical Science,4,1007
BEHS,103,Technology in Contemporary Society,3,1008
HIST,125,Technological Transformations,3,1009
LIBS,150,Introduction to Research,1,1010
WRTG,393,Advanced Technical Writing,3,1011
MATH,106,Finite Mathematics,3,1012